cik,ticker,name,exchange,to_captured_at,cause_old,cause_after_fixes,verified_cause,correct_after_fixes,evidence_forms_new,superseded_by,edgar_url,note
0001407591,MSTO,Masterbeat Corp,OTC,2024-06-28T22:24:13+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001407591&type=&dateb=&owner=include&count=40,"dormant shell, last filing 2023 — correct as UNKNOWN; needs DORMANT label"
0001502966,DIGP,"Hypha Labs, Inc.",OTC,2024-09-27T01:21:15+00:00,UNKNOWN,SYMBOL_CHANGED,SYMBOL_CHANGED,True,,FUNI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001502966&type=&dateb=&owner=include&count=40,renamed Hypha Labs → FUNI; deferred symbol change
0001874113,REAI,Renewable Energy Acquisition Corp. /DE/,Nasdaq,2024-04-25T03:34:01+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001874113&type=&dateb=&owner=include&count=40,dormant shell
0000849636,RSPI,RespireRx Pharmaceuticals Inc.,OTC,2025-04-29T19:04:04+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000849636&type=&dateb=&owner=include&count=40,"OTC, still filing; cause not in 8-K items"
0002040733,GLSA,Green Solar Energy Ltd,,2026-07-16T16:18:18+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002040733&type=&dateb=&owner=include&count=40,dormant
0001475011,JBAXY,Julius Baer Group Ltd.,OTC,2025-06-21T16:46:09+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001475011&type=&dateb=&owner=include&count=40,"ADR, files 6-K — blind spot"
0002041340,HHZK,HONG XIANG HUI ZHI HOLDINGS LTD.,,2025-01-11T13:59:10+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002041340&type=&dateb=&owner=include&count=40,OTC
0000919175,SGMD,"Sugarmade, Inc.",OTC,2025-03-19T14:43:34+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000919175&type=&dateb=&owner=include&count=40,dormant shell
0001313536,SOHOB,SOTHERLY HOTELS LP,,2026-07-16T16:18:18+00:00,UNKNOWN,MERGER_ACQUISITION,MERGER_ACQUISITION,True,8-K,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001313536&type=&dateb=&owner=include&count=40,parent's 8-K carries 2.01+3.01+5.01: completed going-private
0000723269,IRNS,"IRONSTONE PROPERTIES, INC.",OTC,2024-09-18T00:31:01+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723269&type=&dateb=&owner=include&count=40,"OTC, still filing"
0002035964,SFDX,"SFIDA X, Inc.",,2025-04-29T19:04:04+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002035964&type=&dateb=&owner=include&count=40,dormant
0001008653,EMAX,"Ecomax, Inc",OTC,2025-03-19T14:43:34+00:00,UNKNOWN,UNKNOWN,UNKNOWN,True,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001008653&type=&dateb=&owner=include&count=40,dormant
0001837344,MBTCR,Nocturne Acquisition Corp,Nasdaq,2024-04-22T12:49:25+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,EXCHANGE_DELISTING,True,"15-12G,25-NSE,8-K",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001837344&type=&dateb=&owner=include&count=40,SPAC liquidation; 25-NSE + 3.01
0001708331,VRPX,"Virpax Pharmaceuticals, Inc.",OTC,2026-01-08T02:23:29+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,EXCHANGE_DELISTING,True,25-NSE,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001708331&type=&dateb=&owner=include&count=40,25-NSE
0000933267,IRS-WT,IRSA INVESTMENTS & REPRESENTATIONS INC,NYSE,2026-07-16T16:18:18+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,EXCHANGE_DELISTING,True,25-NSE,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000933267&type=&dateb=&owner=include&count=40,"25-NSE, warrants expired"
0001780531,OCFT,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD.",NYSE,2025-12-06T23:33:16+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,MERGER_ACQUISITION,False,"15-12G,25-NSE",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001780531&type=&dateb=&owner=include&count=40,"taken private by Ping An; foreign issuer, no 8-K 2.01 — labelled EXCHANGE_DELISTING (partial)"
0001879221,UTAWF,UTA Acquisition Corp,OTC,2024-02-01T18:00:27+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,EXCHANGE_DELISTING,True,"15-12G,25-NSE",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001879221&type=&dateb=&owner=include&count=40,SPAC liquidation
0000851170,MCR,MFS CHARTER INCOME TRUST,NYSE,2026-07-16T16:18:18+00:00,EXCHANGE_DELISTING,EXCHANGE_DELISTING,EXCHANGE_DELISTING,True,25-NSE,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000851170&type=&dateb=&owner=include&count=40,closed-end fund reorganisation; 25-NSE (partial)
